,COMMODITY_DESC,GEOGRAPHY_DESC,UNIT_DESC,YEAR_ID,AMOUNT
165549,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,CWE,2006,363739.85625474
165550,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,CWE,2006,551543.00640894
165551,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,CWE,2006,709772.78385342
165631,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,CWE,2006,343361.30052042
168029,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,KG,2006,72683.0
168030,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,KG,2006,162701.0
182523,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,KG,2006,124474.0
182524,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,KG,2006,140565.0
182525,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,KG,2006,317159.0
182626,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,CWE,2006,491208.43270212
182627,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,CWE,2006,541038.02667138
182628,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,CWE,2006,286826.98807854
182629,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,CWE,2006,642062.62519938
182630,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,CWE,2006,554707.9176596999
182631,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,CWE,2006,1251596.11892742
184895,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2006,37039.72194468
184896,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2006,76853.6740755
184897,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2006,369821.06353332
184922,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2006,205660.0371987
187882,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2006,130714.0
187883,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2006,58425.0
202692,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container less ",Argentina,KG,2006,15814.0
202693,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container less ",Argentina,KG,2006,16157.0
202694,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container less ",Argentina,KG,2006,32640.0
217814,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container less ",Argentina,KG,2006,86274.0
217815,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container less ",Argentina,KG,2006,16320.0
217816,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container less ",Argentina,KG,2006,31742.0
217885,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container less ",Argentina,CWE,2006,68360.918976
217886,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container less ",Argentina,CWE,2006,132960.3118956
217887,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container less ",Argentina,CWE,2006,67678.1475426
217888,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container less ",Argentina,CWE,2006,136721.837952
219178,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,CWE,2006,4283414.758425601
219179,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,CWE,2006,1943016.7033116
219180,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,CWE,2006,4176487.725417
219181,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,CWE,2006,5502597.4003518
221590,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,KG,2006,1167551.0
221591,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,KG,2006,463862.0
221692,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,KG,2006,989695.0
221693,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,KG,2006,629040.0
221694,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,KG,2006,319906.0
221695,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,KG,2006,998940.0
221738,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,CWE,2006,4145616.403551
221739,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,CWE,2006,1427151.4695144
221740,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,CWE,2006,6557299.1473374
221741,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,CWE,2006,4184341.691292
235344,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,CWE,2006,4483910.799282599
237063,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,KG,2006,800378.0
237064,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,KG,2006,522792.0
237186,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,KG,2006,309171.0
237187,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,KG,2006,661969.0
237188,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,KG,2006,446762.0
237210,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,KG,2006,586279.0
237211,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,KG,2006,658046.0
