,Unnamed: 0,Commodity,Country,UNIT_DESC,Year,AMOUNT,Metric Tons
46713,22997,Pork,Mexico,CWE,2007,665645.11399386,30193.662370761485
46714,22998,Pork,Mexico,CWE,2007,662951.48478804,30071.479349985493
46715,24942,Pork,Mexico,CWE,2007,2717419.21568334,123262.1356233963
46716,24943,Pork,Mexico,CWE,2007,3435672.6733077005,155842.1124612373
46717,24944,Pork,Mexico,CWE,2007,3659680.4566392,166003.1055131541
46718,24945,Pork,Mexico,CWE,2007,4411130.56067936,200088.88223241575
46719,28054,Beef,Mexico,KG,2007,214544.0,214.544
46720,28055,Beef,Mexico,KG,2007,54660.0,54.66
46721,28134,Beef,Mexico,KG,2007,270989.0,270.98900000000003
46722,28135,Beef,Mexico,KG,2007,385865.0,385.865
46723,29573,Pork,Mexico,KG,2007,1689.0,1.689
46724,29574,Pork,Mexico,KG,2007,1551.0,1.551
46725,29814,Pork,Mexico,CWE,2007,3561896.69654364,161567.63415521948
46726,29815,Pork,Mexico,CWE,2007,3911604.28809192,177430.3705078495
46727,29816,Pork,Mexico,CWE,2007,3496148.1301846,158585.27918517345
46728,29817,Pork,Mexico,CWE,2007,3517000.17258586,159531.12782849462
46729,29908,Pork,Mexico,CWE,2007,2877150.6493569,130507.553454829
46730,29909,Pork,Mexico,CWE,2007,3559919.06242476,161477.92867158708
46731,29910,Pork,Mexico,CWE,2007,3637515.9586689,164997.72388522132
46732,29946,Pork,Mexico,CWE,2007,3998132.72535222,181355.30042197672
46733,33553,Pork,Mexico,KG,2007,1244434.22413871,1244.43422413871
46734,33554,Pork,Mexico,KG,2007,1241701.04310425,1241.70104310425
46735,33555,Pork,Mexico,KG,2007,1489908.49118278,1489.9084911827802
46736,33730,Pork,Mexico,KG,2007,983909.7500005659,983.909750000566
46737,33731,Pork,Mexico,KG,2007,934669.7672419808,934.6697672419807
46738,33732,Pork,Mexico,KG,2007,1158125.22413865,1158.12522413865
46739,33733,Pork,Mexico,KG,2007,1193621.34788767,1193.62134788767
46740,33759,Pork,Mexico,KG,2007,1191537.34482825,1191.5373448282498
46741,33760,Pork,Mexico,KG,2007,1183524.92547399,1183.52492547399
46742,38713,Beef,Mexico,KG,2007,400174.0,400.174
46743,38714,Beef,Mexico,KG,2007,430525.0,430.525
46744,38715,Beef,Mexico,KG,2007,258970.0,258.97
46745,38796,Beef,Mexico,KG,2007,330583.0,330.583
46746,38797,Beef,Mexico,KG,2007,394741.0,394.741
46747,45327,Beef,Mexico,NO,2007,39166.0,39166.0
46748,45328,Beef,Mexico,NO,2007,60958.0,60958.0
46749,45329,Beef,Mexico,NO,2007,29382.0,29382.0
46750,45330,Beef,Mexico,NO,2007,49761.0,49761.0
46751,45331,Beef,Mexico,NO,2007,48503.0,48503.0
46752,45386,Beef,Mexico,NO,2007,85477.0,85477.0
46753,45387,Beef,Mexico,NO,2007,25152.0,25152.0
46754,54665,Pork,Mexico,KG,2007,380573.0,380.573
46755,54801,Pork,Mexico,KG,2007,594837.0,594.837
46756,54815,Pork,Mexico,CWE,2007,1980200.01228714,89821.87255734467
46757,54816,Pork,Mexico,CWE,2007,1913051.17244052,86776.00118190199
46758,54817,Pork,Mexico,CWE,2007,1851528.3074757,83985.32402709775
46759,54818,Pork,Mexico,CWE,2007,2150497.27326546,97546.55631532127
46760,54856,Pork,Mexico,KG,2007,356928.0,356.92800000000005
46761,54857,Pork,Mexico,KG,2007,574666.0,574.6659999999999
46762,58232,Pork,Mexico,CWE,2007,7266.434112000001,329.60545132032
46763,58233,Pork,Mexico,CWE,2007,7592.718168,344.40569610048
46764,60598,Pork,Mexico,KG,2007,3296.0,3.2960000000000003
46765,60599,Pork,Mexico,KG,2007,3444.0,3.444
46766,60600,Pork,Mexico,KG,2007,2349.0,2.349
46767,60601,Pork,Mexico,KG,2007,2364.0,2.364
46768,60652,Pork,Mexico,CWE,2007,4991.264208,226.40374447488
46769,60690,Pork,Mexico,CWE,2007,2788.84683,126.5020922088
46770,60691,Pork,Mexico,CWE,2007,10454.317524,474.20784288863996
46771,61085,Beef,Mexico,CWE,2007,29982.8592,1360.0224933119998
46772,61086,Beef,Mexico,CWE,2007,67380.47948016,3056.378549220057
46773,61087,Beef,Mexico,CWE,2007,56667.603888,2570.4425123596798
46774,66357,Beef,Mexico,NO,2007,20502.0,20502.0
46775,66358,Beef,Mexico,NO,2007,38975.0,38975.0
46776,66494,Beef,Mexico,NO,2007,51821.0,51821.0
46777,66495,Beef,Mexico,NO,2007,27235.0,27235.0
46778,66496,Beef,Mexico,NO,2007,55015.0,55015.0
46779,72038,Beef,Mexico,NO,2007,150376.0,150376.0
46780,72039,Beef,Mexico,NO,2007,49573.0,49573.0
46781,75086,Beef,Mexico,NO,2007,202.0,202.0
46782,75087,Beef,Mexico,NO,2007,363.0,363.0
46783,75146,Beef,Mexico,NO,2007,254.0,254.0
46784,75147,Beef,Mexico,NO,2007,222.0,222.0
46785,75148,Beef,Mexico,NO,2007,135.0,135.0
46786,75149,Beef,Mexico,NO,2007,847.0,847.0
46787,75150,Beef,Mexico,NO,2007,5815.0,5815.0
46788,76394,Beef,Mexico,NO,2007,1213.0,1213.0
46789,76395,Beef,Mexico,NO,2007,119.0,119.0
46790,77064,Pork,Mexico,KG,2007,2264.0,2.264
